LBE,CONGRESSIONAL_DISTRICT_CODE,LEGISLATIVE_DISTRICT_CODE,PRECINCT,PARTY,POLLS,EARLY_VOING,ABSENTEE,PROVISIONAL,ELIGIBLE_VOTERS
Allegany,06,01C,001-000,DEMOCRATIC,38,6,12,0,103
Allegany,06,01C,001-000,GREEN,0,0,0,0,0
Allegany,06,01C,001-000,LIBERTARIAN,0,1,0,0,7
Allegany,06,01C,001-000,OTHER PARTIES,1,0,0,0,5
Allegany,06,01C,001-000,REPUBLICAN,214,18,22,0,419
Allegany,06,01C,001-000,UNAFFILIATED,26,5,4,1,104
Allegany,06,01C,001-000,WORKING CLASS PARTY,0,0,0,0,0
Allegany,06,01C,002-000,DEMOCRATIC,32,3,15,1,127
Allegany,06,01C,002-000,GREEN,0,0,0,0,2
Allegany,06,01C,002-000,LIBERTARIAN,1,0,0,0,3
Allegany,06,01C,002-000,OTHER PARTIES,0,0,2,0,7
Allegany,06,01C,002-000,REPUBLICAN,229,23,27,1,460
Allegany,06,01C,002-000,UNAFFILIATED,34,5,2,0,136
Allegany,06,01C,002-000,WORKING CLASS PARTY,0,0,0,0,2
Allegany,06,01C,003-000,DEMOCRATIC,25,10,19,1,106
Allegany,06,01C,003-000,GREEN,0,0,0,0,0
Allegany,06,01C,003-000,LIBERTARIAN,0,0,0,0,0
Allegany,06,01C,003-000,OTHER PARTIES,1,1,0,0,7
Allegany,06,01C,003-000,REPUBLICAN,238,24,23,1,464
Allegany,06,01C,003-000,UNAFFILIATED,38,3,2,0,121
Allegany,06,01C,003-000,WORKING CLASS PARTY,1,0,0,0,2
Allegany,06,01B,004-002,DEMOCRATIC,44,9,13,2,253
Allegany,06,01B,004-002,GREEN,0,0,0,0,4
Allegany,06,01B,004-002,LIBERTARIAN,0,0,0,0,3
Allegany,06,01B,004-002,OTHER PARTIES,1,0,0,0,13
Allegany,06,01B,004-002,REPUBLICAN,69,7,14,1,264
Allegany,06,01B,004-002,UNAFFILIATED,23,7,8,1,218
Allegany,06,01B,004-002,WORKING CLASS PARTY,0,0,0,0,5
Allegany,06,01B,004-003,DEMOCRATIC,103,12,46,2,383
Allegany,06,01B,004-003,GREEN,0,0,0,0,5
Allegany,06,01B,004-003,LIBERTARIAN,0,0,0,0,8
Allegany,06,01B,004-003,OTHER PARTIES,2,0,0,0,20
Allegany,06,01B,004-003,REPUBLICAN,127,29,33,3,406
Allegany,06,01B,004-003,UNAFFILIATED,31,6,10,4,264
Allegany,06,01B,004-003,WORKING CLASS PARTY,1,0,1,0,2
Allegany,06,01B,004-004,DEMOCRATIC,120,38,83,6,436
Allegany,06,01B,004-004,GREEN,0,0,0,0,3
Allegany,06,01B,004-004,LIBERTARIAN,1,0,0,0,2
Allegany,06,01B,004-004,OTHER PARTIES,2,0,1,0,15
